id;title;NF_inlink_ratio;NF_outlink_ratio;MW_generality
13450;hebrew language;0.001927;0.000078;0.6875
11884;german language;0.004061;0.000115;0.6875
747959;fur language;0.000004;0.000003;0.625
10597;french language;0.005125;0.000067;0.6875
9248;esperanto;0.000242;0.000094;0.625
8569916;english language;0.008143;0.000104;0.6875
1779632;east flemish;0.000007;0.000004;0.6875
19985174;dutch language;0.001275;0.0001;0.6875
186177;diwali;0.000168;0.000063;0.6875
5751;chinese language;0.001302;0.000097;0.6875
1779524;brabantian;0.000016;0.000011;0.6875
4693;berber languages;0.00015;0.000046;0.6875
21378419;bengali language;0.000723;0.000076;0.6875
803;arabic language;0.002819;0.000092;0.6875
1890;american english;0.00029;0.000092;0.6875
32977;writing;0.000225;0.000039;0.6875
32693;vowel;0.00028;0.000047;0.6875
28394;stuttering;0.00008;0.000035;0.6875
28900;split infinitive;0.000006;0.000025;0.5625
23588;pinyin;0.000946;0.000035;0.625
21566;noam chomsky;0.000324;0.000073;0.6875
22760983;linguistics;0.001049;0.000075;0.8125
45059;part of speech;0.00006;0.000023;0.75
18306;latin alphabet;0.000488;0.000071;0.625
518306;kigo;0.000009;0.000051;0.625
1938949;high german consonant shift;0.000021;0.000018;0.6875
715909;greek alphabet;0.000277;0.00006;0.625
49610;english grammar;0.000017;0.000026;0.625
5641;consonant;0.000243;0.00003;0.625
91231;chinese character;0.000476;0.000076;0.6875
670;alphabet;0.000177;0.000075;0.6875
2916196;shigin;0.000004;0.000007;0.5625
462477;persian literature;0.000157;0.000096;0.6875
23713433;novel;0.002784;0.000174;0.6875
19685;mythology;0.00068;0.000033;0.75
290763;medieval literature;0.000039;0.000064;0.625
48994;limerick poetry;0.00003;0.000011;0.75
103246;imagism;0.000046;0.000028;0.5625
13217;haiku;0.000143;0.000043;0.625
18949461;fiction;0.000855;0.000044;0.6875
9253;encyclopedia;0.000228;0.000064;0.625
7931;dictionary;0.000189;0.000041;0.6875
52847;children's literature;0.000618;0.000064;0.6875
3778;book;0.000656;0.000086;0.6875
7370562;biography;0.000338;0.000023;0.75
22557;old english literature;0.000025;0.000068;0.5625
6811179;wolf brother;0.000003;0.000008;0.625
3897278;waverley novels;0.000009;0.000004;0.5
67317;watership down;0.000038;0.000039;0.5625
155311;war and peace;0.000073;0.000047;0.625
71989;uncle tom's cabin;0.000095;0.000067;0.6875
167963;treasure island;0.000096;0.000055;0.625
73408;to kill a mockingbird;0.00006;0.000038;0.625
173974;the pilgrim's progress;0.000064;0.000059;0.625
161502;the old man and the sea;0.000028;0.000009;0.5625
29798;the lord of the rings;0.000385;0.000089;0.625
1398951;the kite runner;0.000018;0.000016;0.625
31353;the hitchhiker's guide to the galaxy;0.000133;0.000067;0.625
44005;the english patient;0.000018;0.000007;0.625
890626;the curious incident of the dog in the night-time;0.000013;0.000005;0.6875
82163;the count of monte cristo;0.000067;0.000018;0.625
186258;the catcher in the rye;0.000062;0.000029;0.625
607536;the brothers karamazov;0.000046;0.00003;0.625
27159;sherlock holmes;0.000469;0.000114;0.5625
312623;schindler's ark;0.000008;0.000006;0.6875
55483;robinson crusoe;0.000091;0.000029;0.625
24162;pride and prejudice;0.000093;0.000024;0.5625
2531453;one flew over the cuckoo's nest novel;0.000021;0.000019;0.625
161301;oliver twist;0.000093;0.000013;0.5625
571011;northern lights novel;0.000027;0.000018;0.625
23454753;nineteen eighty-four;0.000171;0.000097;0.6875
149689;midnight's children;0.000021;0.000014;0.5625
61072;little women;0.000057;0.000009;0.5625
564196;list of oz books;0.000043;0.000023;0.5625
1449439;kidnapped novel;0.000022;0.000019;0.5625
55438;jane eyre;0.000074;0.000036;0.625
3361223;howards end;0.000011;0.000006;0.5
18580673;frankenstein;0.000187;0.00005;0.625
63110;david copperfield novel;0.000037;0.000024;0.5625
133874;crime and punishment;0.000057;0.000028;0.625
251099;captain corelli's mandolin;0.000008;0.00001;0.625
576114;are you there god? it's me margaret.;0.000005;0.000006;0.625
159941;anna karenina;0.000053;0.000022;0.6875
620;animal farm;0.00006;0.000029;0.625
562222;a wrinkle in time;0.000023;0.000028;0.625
33163;wolfgang amadeus mozart;0.001334;0.000057;0.625
15108083;the waste land;0.000059;0.000032;0.5625
42478;the rime of the ancient mariner;0.000035;0.000012;0.625
30418;the marriage of figaro;0.000272;0.00002;0.625
37916;the magic flute;0.000195;0.00002;0.625
3842699;the fairy-queen;0.000017;0.000022;0.625
1176422;the cantos;0.00002;0.000114;0.625
5396224;the absent-minded beggar;0.000003;0.00001;0.5
29408;samuel taylor coleridge;0.000239;0.000028;0.625
25452;richard wagner;0.000821;0.0001;0.6875
44245;ramayana;0.000405;0.000065;0.625
219642;porgy and bess;0.000106;0.000075;0.625
412032;american poetry;0.000464;0.000107;0.5625
22926;poetry;0.001399;0.000197;0.75
1074419;peter grimes;0.000051;0.000007;0.625
22348;opera;0.002114;0.000131;0.6875
275132;modernist poetry in english;0.000014;0.000054;0.625
38246;madama butterfly;0.000201;0.000024;0.625
17253;kubla khan;0.000024;0.00001;0.5625
213091;joseph and the amazing technicolor dreamcoat;0.00012;0.00004;0.5625
338104;irish poetry;0.000266;0.00006;0.625
355820;hansel und gretel opera;0.0;0.000024;0.625
12958;giuseppe verdi;0.000675;0.000037;0.625
228711;george herbert;0.000042;0.000019;0.625
173020;english poetry;0.000514;0.000095;0.625
650560;dido and aeneas;0.000044;0.000028;0.625
3153344;danny deever;0.000003;0.00001;0.5
64437;benjamin britten;0.00037;0.000039;0.625
32897;william shakespeare;0.002392;0.000099;0.625
180233;theatre in the round;0.000034;0.000034;0.6875
20913771;theatre;0.001562;0.000096;0.6875
474370;the seagull;0.000078;0.000032;0.5625
216855;the relapse;0.000013;0.000025;0.5625
37713;the merchant of venice;0.000193;0.000038;0.625
31067;the importance of being earnest;0.000112;0.00004;0.625
494640;the frogs;0.000027;0.000016;0.6875
216315;the country wife;0.000025;0.000023;0.6875
30273;t. s. eliot;0.000404;0.000062;0.625
1408745;stage theatre;0.000147;0.00001;0.6875
27640;samuel beckett;0.000271;0.000067;0.625
1643552;saint joan play;0.000038;0.000024;0.625
167775;royal national theatre;0.000425;0.000123;0.6875
25821;romeo and juliet;0.000442;0.000088;0.6875
176961;richard iii play;0.000177;0.00004;0.5625
143284;restoration comedy;0.000031;0.000035;0.6875
18866;macbeth;0.000393;0.000063;0.6875
177309;lighting designer;0.00005;0.000011;0.6875
384468;irish theatre;0.000009;0.000031;0.625
14236;henrik ibsen;0.000307;0.000031;0.625
199185;globe theatre;0.0001;0.00001;0.625
1313722;costume design;0.000071;0.000004;0.6875
216663;colley cibber;0.000045;0.000038;0.625
221377;augusta lady gregory;0.000037;0.00002;0.6875
58379;arcadia play;0.000024;0.000035;0.6875
21504235;actor;0.006071;0.000044;0.6875
186266;itunes;0.001389;0.000058;0.5625
89847;ipod;0.000281;0.000055;0.625
63973;wi-fi;0.000457;0.00005;0.5625
25220;quantum computer;0.00012;0.000042;0.75
18457137;personal computer;0.001213;0.000112;0.6875
39418;moore's law;0.000061;0.000037;0.75
19006979;macintosh;0.000718;0.000102;0.6875
198584;laptop;0.000267;0.00006;0.75
172684;interbase;0.000012;0.000016;0.5
15150;integrated circuit;0.000476;0.000066;0.6875
23715667;gnome;0.000175;0.000027;0.625
10891;floppy disk;0.000313;0.000039;0.625
7878457;computer;0.001171;0.000082;0.5625
6429;compact disc;0.002191;0.000053;0.625
7293;commodore 64;0.000568;0.000077;0.5625
5218;central processing unit;0.000654;0.000054;0.5625
849181;cpu cache;0.000112;0.000031;0.625
1433274;x window system protocols and architecture;0.000006;0.000021;0.5625
3501526;x window system core protocol;0.000005;0.000029;0.5625
34147;x window system;0.000256;0.00007;0.625
33879;windows xp;0.000386;0.000059;0.5625
2289648;windows vista;0.000421;0.000085;0.5
33941;windows 2000;0.000192;0.000092;0.5625
21347364;unix;0.000743;0.000095;0.5625
17191338;ubuntu;0.000002;0.000002;-1.0
30065;tex;0.000086;0.000051;0.625
42799;speech synthesis;0.000119;0.000065;0.6875
18949571;openbsd;0.000111;0.000043;0.625
210892;firefox;0.000292;0.000076;0.625
18890;microsoft windows;0.002501;0.00005;0.5625
6097297;linux;0.001514;0.000104;0.5
15215;internet explorer;0.000248;0.000076;0.625
18933234;emacs;0.000092;0.000062;0.625
542386;btrieve;0.000005;0.000025;0.5625
4214;bioinformatics;0.000225;0.000038;0.75
33139;world wide web;0.000638;0.000053;0.625
5043734;wikipedia;0.000351;0.000095;0.75
18618509;wikimedia foundation;0.000089;0.00003;0.75
32851;wiki;0.000257;0.000036;0.6875
28951;spyware;0.000092;0.000065;0.625
1034453;podcast;0.00049;0.000015;0.8125
428364;phishing;0.000082;0.000037;0.6875
18938758;open source;0.00106;0.000071;0.6875
21113;napster;0.000098;0.000031;0.75
5068415;http cookie;0.000055;0.000029;0.625
1494648;google maps;0.000168;0.00006;0.625
1092923;google;0.000865;0.000058;0.625
569005;gmail;0.000073;0.000025;0.625
11875;gnu;0.000131;0.000025;0.625
33645;blog;0.001176;0.00007;0.8125
47498;all your base are belong to us;0.000009;0.000008;0.75
34398;zeus;0.000494;0.000077;0.625
106553;uffington white horse;0.000019;0.000021;0.6875
30058;trojan war;0.000254;0.000125;0.625
27900915;temple of artemis;0.000028;0.000031;0.6875
51825;sun tzu;0.000067;0.000021;0.6875
50521;sumer;0.00023;0.000107;0.6875
29219;stone age;0.000259;0.000095;0.625
69796;statue of zeus at olympia;0.00001;0.000008;0.6875
36487;sparta;0.000481;0.000062;0.5625
1119248;siege of antioch;0.000023;0.000021;0.5625
5876413;sassanid empire;0.000588;0.000142;0.625
25789;romulus augustulus;0.000029;0.000019;0.6875
26364;roman law;0.000216;0.000045;0.6875
2194994;roman greece;0.000017;0.000021;0.5625
21476519;ramesses ii;0.000146;0.000052;0.5625
43461;qin dynasty;0.000197;0.000026;0.6875
21476593;pompeii;0.00018;0.000037;0.625
158703;pheidippides;0.00001;0.000006;0.5625
30927438;achaemenid empire;0.000836;0.000098;0.6875
22278;ottoman empire;0.004105;0.000181;0.5625
77260;olmec;0.000109;0.000048;0.6875
158410;oleg of novgorod;0.000035;0.000018;0.625
22349;odyssey;0.000298;0.000058;0.625
22537;odysseus;0.000216;0.00006;0.6875
27298083;neanderthal;0.000184;0.000057;0.625
23540092;mongol invasion of central asia;0.000012;0.000007;0.5625
240146;mongol empire;0.000281;0.000105;0.625
73327;minoan civilization;0.000155;0.000068;0.625
43449;ming dynasty;0.000866;0.000098;0.5
20189;mesopotamia;0.00061;0.000105;0.6875
18449273;maya civilization;0.000405;0.00007;0.625
69798;mausoleum of halicarnassus;0.00002;0.000022;0.6875
19643;mahabharata;0.000614;0.000074;0.5625
162248;lothal;0.00002;0.000042;0.625
17724;lighthouse of alexandria;0.00002;0.000011;0.6875
17726;library of alexandria;0.00006;0.000029;0.6875
16808;king arthur;0.00051;0.000065;0.6875
14711;iron age;0.000803;0.000073;0.6875
46853;indus valley civilization;0.000164;0.000069;0.6875
15229;ibn battuta;0.000097;0.00009;0.6875
565594;history of greece;0.000036;0.000105;0.5625
13815;heracles;0.000249;0.000079;0.625
565604;hellenistic greece;0.000036;0.00003;0.5
334182;helen;0.000071;0.000006;-1.0
13782;hebrew calendar;0.000115;0.000067;0.625
14358;hammurabi;0.000039;0.000019;0.625
287459;great moravia;0.000099;0.000065;0.5625
2281288;gdrt;0.000003;0.000016;0.5625
11303;folklore;0.000613;0.000021;0.6875
80028;epic of gilgamesh;0.000071;0.000025;0.625
14227;elagabalus;0.000054;0.00005;0.6875
46605;demosthenes;0.000096;0.000049;0.5625
5585231;david iii of tao;0.000009;0.000017;0.625
55870;cyclops;0.000101;0.000026;0.625
7604;code of hammurabi;0.000041;0.000013;0.6875
703734;caveman;0.000052;0.000028;0.6875
4620;bronze age;0.000985;0.000091;0.625
4789;behistun inscription;0.000037;0.00002;0.625
46674;battle of tours;0.000032;0.000057;0.625
4806;battle of marathon;0.000046;0.000039;0.5625
4577840;battle of lechaeum;0.000002;0.000004;0.5625
46883;babylonia;0.000337;0.000118;0.6875
4551;babur;0.000134;0.000041;0.5625
2085;assyria;0.000473;0.000183;0.625
9360726;apaochi;0.0;0.000007;0.625
148363;ancient greek;0.001155;0.000036;0.6875
66540;ancient greece;0.001137;0.000112;0.625
874;ancient egypt;0.001036;0.000115;0.6875
61322;alcibiades;0.000059;0.000053;0.6875
3436857;aksumite currency;0.000003;0.000025;0.625
1566;akkadian empire;0.000105;0.000041;0.6875
89728;akhenaten;0.000119;0.000069;0.625
305;achilles;0.000176;0.000057;0.625
49856;abbasid caliphate;0.000466;0.000086;0.625
1870163;welsh law;0.000025;0.000017;0.6875
854606;society of merchant venturers;0.000014;0.000012;0.6875
395918;royal geographical society;0.000244;0.000024;0.6875
2152548;list of prime ministers of the united kingdom;0.000016;0.000016;0.625
31723;history of the united kingdom;0.000016;0.000127;0.5625
6585135;history of slavery;0.000057;0.000233;0.75
13485;history of england;0.000043;0.000138;0.5625
10772350;history;0.002051;0.000059;0.8125
13530298;great britain;0.003401;0.000091;0.625
1179158;english monarchs family tree;0.000002;0.000053;0.6875
400649;crown jewels of the united kingdom;0.000033;0.000035;0.625
34494;zheng he;0.000066;0.000044;0.6875
407246;zhang qian;0.000024;0.000034;0.625
34244;yugoslavia;0.001516;0.000054;0.5625
3647806;warsaw uprising 1794;0.000013;0.000023;0.5
32610;viking;0.000765;0.000108;0.625
4146500;trobairitz;0.000013;0.000013;0.625
750464;treaty of devol;0.000006;0.000024;0.625
583117;trade route;0.000073;0.000067;0.6875
3852840;tiridates i of armenia;0.000017;0.000028;0.6875
43455;tang dynasty;0.000997;0.000163;0.5
506548;spice trade;0.00005;0.000047;0.6875
1246225;spanish conquest of the inca empire;0.000039;0.000031;0.5625
5980301;spanish inquisition;0.000154;0.000095;0.6875
303062;spanish empire;0.000384;0.000173;0.625
84237;space race;0.000085;0.000069;0.625
56978;song dynasty;0.000541;0.00013;0.5
54253;silk road;0.000241;0.000167;0.625
25762;russian revolution 1917;0.000534;0.000049;0.625
20611504;russian empire;0.002175;0.000093;0.625
25507;roman empire;0.002307;0.00014;0.5625
25532;renaissance;0.00155;0.000125;0.625
19285924;rms titanic;0.000351;0.000071;0.625
25310;qing dynasty;0.001153;0.000108;0.5625
3421031;political integration of india;0.000005;0.000088;0.5625
343234;polishlithuanian commonwealth;0.0;0.000126;0.6875
57172;peasants' revolt;0.000069;0.00002;0.625
22687;oral history;0.000125;0.000007;0.6875
6754871;old swiss confederacy;0.000104;0.000056;0.5
1572901;nine years' war ireland;0.000052;0.000029;0.5625
13306;history of islam;0.000064;0.000259;0.625
24217897;mughal empire;0.000925;0.000055;0.625
885795;modern history;0.000152;0.000243;0.6875
18836;middle ages;0.003559;0.000131;0.5625
1073722;kingdom of makuria;0.000058;0.000039;0.625
1105110;jacobite risings;0.000193;0.000076;0.5625
14914;industrial revolution;0.000746;0.00014;0.75
590246;indian rebellion of 1857;0.000395;0.000091;0.6875
15319;inca empire;0.000179;0.000031;0.625
351949;hungarian revolution of 1956;0.000214;0.000054;0.625
13277;holy roman empire;0.001269;0.000082;0.6875
63876;history of the united states;0.000182;0.000163;0.625
13929;history of religions;0.000033;0.000041;0.75
215063;history of cape colony from 1806 to 1870;0.000002;0.000033;0.5625
44014;henry hudson;0.000072;0.000028;0.625
938546;habsburg spain;0.000059;0.000072;0.5625
12466;glorious revolution;0.000245;0.000071;0.75
11188;french revolution;0.001665;0.000086;0.6875
60004;ernest shackleton;0.000106;0.000045;0.6875
85836;erik the red;0.000023;0.000012;0.625
16972981;byzantine empire;0.002369;0.000146;0.5625
2147649;dark ages;0.000002;0.000006;-1.0
3118873;chola dynasty;0.000278;0.000064;0.625
4721;british empire;0.001471;0.000167;0.6875
60520;boxer rebellion;0.000265;0.000064;0.625
4501;black death;0.000372;0.000049;0.75
53198;aztec;0.000429;0.000052;0.6875
2983;austria-hungary;0.001411;0.000093;0.625
7955693;archduke franz ferdinand of austria;0.000096;0.000025;0.625
1400;anno domini;0.000687;0.000034;0.6875
51320;ancient history;0.000244;0.0003;0.625
521555;ancient rome;0.002281;0.000154;0.6875
690842;age of discovery;0.000105;0.000231;0.75
1045318;african slave trade;0.000066;0.000082;0.625
34739;9th century;0.000005;0.000078;0.625
34740;8th century;0.000003;0.000077;0.625
34735;7th century;0.000003;0.000088;0.625
34741;6th century;0.000003;0.000066;0.625
34742;5th century;0.000004;0.000045;0.625
34643;4th century;0.000003;0.000027;0.625
34743;3rd century;0.000007;0.00003;0.625
34744;2nd century;0.000003;0.000026;0.625
18938115;21st century;0.000059;0.000232;0.625
34558;20th century;0.000052;0.000129;0.625
34835;1st century bc;0.000005;0.000034;0.625
34628;1st century;0.000005;0.000072;0.625
28419612;19th century;0.000035;0.000299;0.625
34570;18th century;0.000013;0.000304;0.625
34569;17th century;0.000011;0.000137;0.625
352339;1755 lisbon earthquake;0.000063;0.000028;0.625
34568;16th century;0.000024;0.000303;0.625
34567;15th century;0.00001;0.00018;0.625
34625;14th century;0.000009;0.000068;0.625
34633;13th century;0.000008;0.000073;0.625
34644;12th century;0.000009;0.000183;0.625
34645;11th century;0.000009;0.000352;0.625
2216503;yuri knorozov;0.00001;0.000024;0.6875
30864;thucydides;0.00016;0.000039;0.625
1766637;tacitean studies;0.000004;0.000033;0.75
16494;josephus;0.000292;0.000031;0.625
13574;herodotus;0.000447;0.000034;0.625
10310;edward gibbon;0.000126;0.000018;0.625
1349711;benjamin of tudela;0.000035;0.000013;0.625
34276;yom kippur war;0.00025;0.000094;0.5625
4764461;world war i;0.013474;0.000209;0.625
51499;western front world war i;0.000508;0.000059;0.5625
33496;weapon;0.000378;0.000039;0.75
30275656;wars of the roses;0.000183;0.000076;0.5625
1425816;wars of castro;0.000016;0.000016;0.5625
5043637;war in darfur;0.000122;0.000067;0.5625
33158;war;0.000559;0.000081;0.75
7819050;virtuti militari;0.000111;0.000031;0.5625
32611;vietnam war;0.002849;0.000114;0.625
17491404;victoria cross;0.001122;0.000056;0.625
92214;tsar bomba;0.000026;0.000022;0.5625
60033;trinity nuclear test;0.000061;0.000057;0.625
182259;trench warfare;0.000137;0.000073;0.6875
895424;third servile war;0.000017;0.000045;0.6875
29970;tank;0.000497;0.00011;0.625
186204;t-34;0.000146;0.000063;0.5625
8475835;swedish allotment system;0.000011;0.000018;0.6875
26905;siege;0.00028;0.000101;0.6875
106130;second crusade;0.000066;0.000059;0.625
877492;second congo war;0.000071;0.000051;0.6875
1186910;s-mine;0.000008;0.000014;0.5625
26061;royal navy;0.004319;0.000108;0.6875
93985;royal marines;0.000393;0.000065;0.6875
25679;royal air force;0.002576;0.000086;0.6875
167578;chemical weapons in world war i;0.00002;0.000055;0.75
355679;order of the thistle;0.000121;0.000042;0.6875
73259;order of the garter;0.000461;0.000054;0.5625
311455;order of the bath;0.001737;0.000037;0.5625
333778;order of st. patrick;0.000081;0.000031;0.625
60981;military tactics;0.000164;0.000005;0.6875
91515;military strategy;0.000099;0.000081;0.6875
1336707;military history of the soviet union;0.000006;0.000073;0.625
1313668;military history of france;0.000012;0.000083;0.625
384176;military history of canada;0.000019;0.000149;0.6875
25595604;military history;0.000114;0.00015;0.75
8729464;medal of honor disambiguation;0.000005;0.000005;-1.0
503750;king's regiment liverpool;0.000032;0.000099;0.5625
803754;kargil war;0.000091;0.000076;0.5625
16860;japanese sword;0.000024;0.000029;0.625
264714;iowa class battleship;0.000023;0.000061;0.375
236104;imperial japanese navy;0.000618;0.000093;0.625
5606945;history of the royal australian navy;0.000003;0.000145;0.625
242883;history of nuclear weapons;0.000009;0.000106;0.625
765218;hero of the russian federation;0.000038;0.000015;0.6875
11966;firearm;0.0004;0.000066;0.5625
2658450;defense of sihang warehouse;0.000005;0.000033;0.5625
1017527;cristero war;0.000046;0.000023;0.75
150272;colditz castle;0.000027;0.000027;0.625
106155;children's crusade;0.00001;0.000018;0.75
224063;battle of warsaw 1920;0.000037;0.000041;0.5
4563;battle of jutland;0.000192;0.000048;0.625
23627606;battle of amiens;0.000002;0.000001;-1.0
4615;battle of agincourt;0.000117;0.00003;0.5625
1526860;algerian civil war;0.000039;0.000038;0.625
1239866;population history of indigenous peoples of the americas;0.000024;0.000037;0.6875
90664;manifest destiny;0.000073;0.000043;0.6875
2045926;iron mike;0.000004;0.000017;0.625
1720950;history of the grand canyon area;0.000002;0.000053;0.6875
2262437;history of northwest territories capital cities;0.000004;0.000026;0.625
2534014;history of alaska;0.000007;0.000082;0.5
12384;gettysburg address;0.000058;0.000036;0.625
2973792;france in the american revolutionary war;0.000012;0.000033;0.625
31666;fourteenth amendment to the united states constitution;0.000301;0.000062;0.625
33604;war of the spanish succession;0.000306;0.000059;0.625
42720;second boer war;0.000683;0.000101;0.625
45420;napoleonic wars;0.001104;0.000094;0.625
3016271;italian war of 15211526;0.0;0.000049;0.5625
200987;greek war of independence;0.000291;0.000104;0.75
242352;first macedonian war;0.000013;0.000034;0.5625
106128;first crusade;0.000191;0.000062;0.625
4412145;crusades;0.000716;0.000109;0.6875
46763;crimean war;0.000617;0.000077;0.5625
745960;corinthian war;0.000019;0.000026;0.5625
56126;battle of the little bighorn;0.000129;0.000061;0.5625
1559089;battle of sitka;0.000006;0.00002;0.5625
26194781;battle of grunwald;0.000066;0.000042;0.5
4849;battle of gettysburg;0.000338;0.000067;0.5
157814;battle of cannae;0.000054;0.000035;0.5625
118372;battle of austerlitz;0.000088;0.000029;0.5625
391164;battle of alesia;0.000024;0.000027;0.5625
771;american revolutionary war;0.001947;0.000096;0.625
863;american civil war;0.006137;0.000128;0.625
44534;tiananmen square protests of 1989;0.000185;0.000083;0.625
4240529;spirit of the american doughboy;0.000003;0.000006;0.5625
26779;soviet union;0.009829;0.000131;0.6875
2200527;south africa under apartheid;0.000857;0.0001;0.6875
28521;shining path;0.000053;0.000033;0.625
5058690;september 11 attacks;0.002134;0.000073;0.625
1557324;sears catalog home;0.000009;0.000022;0.6875
676659;rwandan genocide;0.000189;0.000061;0.6875
5409919;pan am flight 103;0.000102;0.000059;0.6875
4020775;nagorno-karabakh war;0.000101;0.000081;0.625
18739;laika;0.00002;0.000016;0.6875
286369;assassination of john f. kennedy;0.000209;0.000047;0.6875
18953051;iron curtain;0.000194;0.000054;0.6875
155177;iraq and weapons of mass destruction;0.000038;0.000058;0.75
159273;invasion of grenada;0.000079;0.000038;0.625
13636;history of computing hardware;0.000037;0.000095;0.5625
1665978;history of poland 19451989;0.0;0.000096;-1.0
61103;german reunification;0.00037;0.000035;0.625
637197;collapse of the world trade center;0.00002;0.000024;0.6875
325329;cold war;0.002078;0.000138;0.625
3722;berlin wall;0.000349;0.000066;0.6875
2185939;7 july 2005 london bombings;0.000154;0.000072;0.625
3384168;buncefield fire;0.000012;0.000033;0.6875
737701;1993 russian constitutional crisis;0.000029;0.000029;0.6875
32927;world war ii;0.028163;0.000192;0.625
33685;weimar republic;0.000431;0.000079;0.625
376841;warsaw uprising;0.000189;0.000056;0.5625
10396793;the holocaust;0.001266;0.000156;0.75
28825;submarine;0.001435;0.000134;0.625
203674;richard o'connor;0.000025;0.000053;0.625
31045316;nazism;0.002588;0.000124;0.6875
21212;nazi germany;0.002984;0.000184;0.625
405411;naval battle of guadalcanal;0.000062;0.000034;0.625
365088;mauthausen-gusen concentration camp;0.000091;0.000042;0.5625
19766;marshall plan;0.000144;0.000043;0.6875
17885;luftwaffe;0.001123;0.000061;0.625
7969401;katyn massacre;0.000088;0.000067;0.5625
1120226;japanese war crimes;0.000057;0.000097;0.6875
309288;invasion of poland;0.000561;0.000087;0.5
46128;invasion of normandy;0.000215;0.000049;0.625
12899;gestapo;0.000566;0.000031;0.625
9516;erwin rommel;0.000186;0.00009;0.625
519489;eastern front world war ii;0.000598;0.000173;0.5625
253767;dunkirk evacuation;0.000121;0.000027;0.5625
8779;destroyer;0.001259;0.000058;0.5625
4652;blitzkrieg;0.000116;0.000052;0.6875
150011;bergen-belsen concentration camp;0.000086;0.000026;0.5625
19283178;benito mussolini;0.000632;0.000124;0.625
4054;battleship;0.000622;0.000078;0.4375
60921;battle of the somme;0.000289;0.000061;0.625
514897;battle of the santa cruz islands;0.000039;0.000026;0.625
261096;battle of the eastern solomons;0.000033;0.000024;0.625
57998;battle of the bulge;0.000332;0.000072;0.5625
4284;battle of stalingrad;0.000209;0.000056;0.625
6164558;battle of smolensk 1943;0.00001;0.000043;0.5625
573888;battle of moscow;0.000079;0.000043;0.5
60112;battle of midway;0.000224;0.000038;0.625
189095;battle of leyte gulf;0.000134;0.000037;0.625
228080;battle of france;0.000519;0.000085;0.5
57974;battle of britain;0.000341;0.000085;0.6875
60098;attack on pearl harbor;0.000688;0.000075;0.5625
18951602;anschluss;0.000268;0.000044;0.625
34624;1945;0.000525;0.000425;0.5625
34622;1944;0.000439;0.000375;0.5625
34630;1943;0.000387;0.000319;0.5625
34629;1942;0.000416;0.00033;0.5625
34632;1941;0.0004;0.000315;0.5625
34708;1940;0.000375;0.000314;0.5625
34666;1848;0.00012;0.000098;0.5625
34954;1847;0.000096;0.000064;0.5625
35068;1846;0.000096;0.000051;0.5625
35242;1845;0.000084;0.000074;0.5625
34955;1844;0.000089;0.000077;0.5625
34951;1843;0.000099;0.000055;0.5625
34922;1842;0.000082;0.000055;0.5625
34699;1840;0.000099;0.000069;0.5625
34903;1839;0.000091;0.000063;0.5625
35514;1838;0.000088;0.000059;0.5625
34950;1837;0.000098;0.000059;0.5625
35515;1836;0.0001;0.000076;0.5625
35516;1835;0.000089;0.000073;0.5625
34706;1833;0.000073;0.00005;0.5625
35518;1832;0.000088;0.000057;0.5625
35021;1831;0.000076;0.000053;0.5625
35071;1830;0.000088;0.000053;0.5625
34800;1829;0.000067;0.000054;0.5625
34620;1828;0.000074;0.000042;0.5625
35018;1827;0.000064;0.000052;0.5625
34597;1826;0.000067;0.00005;0.5625
35520;1825;0.000077;0.000044;0.5625
35521;1824;0.000068;0.000053;0.5625
34905;1823;0.000076;0.000035;0.5625
35020;1822;0.000082;0.000055;0.5625
34967;1821;0.000087;0.000065;0.5625
35522;1820;0.000101;0.000061;0.5625
34966;1819;0.000086;0.00006;0.5625
34592;1818;0.000075;0.000052;0.5625
35552;1817;0.000075;0.000051;0.5625
35531;1816;0.000077;0.000046;0.5625
34931;1815;0.0001;0.000063;0.5625
34948;1814;0.000096;0.00008;0.5625
34965;1813;0.000079;0.000076;0.5625
34949;1812;0.000087;0.000074;0.5625
35627;1811;0.000072;0.000052;0.5625
34947;1810;0.000087;0.000052;0.5625
34705;1809;0.000077;0.000082;0.5625
34902;1808;0.000086;0.000065;0.5625
34745;1807;0.000062;0.000053;0.5625
34978;1806;0.000088;0.000062;0.5625
35074;1805;0.000082;0.000047;0.5625
35073;1804;0.000075;0.000066;0.5625
35072;1803;0.00008;0.000056;0.5625
34964;1802;0.000064;0.000046;0.5625
34704;1801;0.000075;0.000055;0.5625
34963;1800;0.00009;0.000104;0.5625
35496;1799;0.000079;0.000066;0.5625
35798;1798;0.000084;0.000045;0.5625
34747;1797;0.000069;0.000046;0.5625
34764;1796;0.000073;0.000056;0.5625
35799;1795;0.00007;0.000056;0.5625
34946;1794;0.000079;0.000056;0.5625
35416;1793;0.000074;0.000072;0.5625
34914;1792;0.000089;0.000086;0.5625
34590;1791;0.000066;0.000041;0.5625
34916;1790;0.000073;0.000049;0.5625
34697;1789;0.000075;0.000064;0.5625
34627;1788;0.000068;0.000065;0.5625
34634;1787;0.000057;0.000049;0.5625
35800;1786;0.000057;0.000055;0.5625
35801;1785;0.000058;0.000042;0.5625
35802;1784;0.000062;0.000045;0.5625
35523;1783;0.00006;0.000044;0.5625
34698;1782;0.000058;0.000046;0.5625
35490;1781;0.00006;0.000054;0.5625
